# k, experiment with shifted e, fit result * k**2
4.278293135435992767e+00,-2.895092271074360332e-02,-4.590008574262570140e-01
4.303339517625231814e+00,-3.003214232072878506e-02,-4.586380621151939230e-01
4.328385899814470861e+00,-3.088068506728291682e-02,-4.556479020545651792e-01
4.353432282003710796e+00,-3.171077164474245258e-02,-4.506026008317653986e-01
4.378478664192949843e+00,-3.215867010251827196e-02,-4.434622925614037370e-01
4.403525046382188890e+00,-3.250704200634479263e-02,-4.339428497061274537e-01
4.428571428571428825e+00,-3.250352313206394256e-02,-4.228238087855231697e-01
4.453617810760667872e+00,-3.232255269714837814e-02,-4.091323787856693261e-01
4.478664192949906919e+00,-3.176259061368996717e-02,-3.943563883102035872e-01
4.503710575139146854e+00,-3.087923068882740540e-02,-3.769355559864578931e-01
4.528756957328385901e+00,-2.984926258798204640e-02,-3.588702265914610612e-01
4.553803339517624948e+00,-2.861495323698229343e-02,-3.382154388326784611e-01
4.578849721706864884e+00,-2.723822164190724954e-02,-3.172977111612748091e-01
4.603896103896103931e+00,-2.552732432285734904e-02,-2.939652584154844317e-01
4.628942486085342978e+00,-2.368217278169369028e-02,-2.706758778781918617e-01
4.653988868274582913e+00,-2.123570433084406503e-02,-2.452633313198224474e-01
4.679035250463821960e+00,-1.877990487483084669e-02,-2.201660058397489073e-01
4.704081632653061007e+00,-1.621381647782465033e-02,-1.933207275492937471e-01
4.729128014842300942e+00,-1.364627874423582701e-02,-1.669902610325884051e-01
4.754174397031539989e+00,-1.105175100137577998e-02,-1.393518992938959367e-01
4.779220779220779036e+00,-8.454632782946384928e-03,-1.123794145229567859e-01
4.804267161410018971e+00,-5.919113183563026043e-03,-8.457883075863865951e-02
4.829313543599258018e+00,-3.393592146929983767e-03,-5.755608061883459026e-02
4.854359925788497065e+00,-1.169623325268530920e-03,-3.020224699930670192e-02
4.879406307977737001e+00,9.495295229073621134e-04,-3.717927231025389134e-03
4.904452690166976048e+00,2.883335827427853555e-03,2.261557964961622563e-02
4.929499072356215095e+00,4.711689251427115047e-03,4.800650160454651011e-02
4.954545454545455030e+00,6.376364390422877872e-03,7.280179332852707019e-02
4.979591836734693189e+00,7.898582737158283545e-03,9.658420322900390653e-02
5.004638218923933124e+00,9.327196433356379698e-03,1.193825825610587144e-01
5.029684601113173059e+00,1.063386830369259829e-02,1.410886774173416569e-01
5.054730983302411218e+00,1.188533325935229451e-02,1.614958624215746819e-01
5.079777365491651153e+00,1.302762536149732614e-02,1.807285954996459554e-01
5.104823747680891088e+00,1.412001950295327553e-02,1.984326790908560734e-01
5.129870129870129247e+00,1.505453988968243582e-02,2.148641333857984059e-01
5.154916512059369182e+00,1.594374898653734551e-02,2.296263345997989203e-01
5.179962894248609118e+00,1.656974301705631952e-02,2.430052089411883776e-01
5.205009276437847276e+00,1.717787038736143940e-02,2.546622575044608650e-01
5.230055658627087212e+00,1.748096072244061799e-02,2.648096777387921597e-01
5.255102040816326259e+00,1.778417818223902713e-02,2.732702525151162742e-01
5.280148423005565306e+00,1.802332829204041087e-02,2.801070960288278289e-01
5.305194805194805241e+00,1.826032886407953290e-02,2.853668471068224188e-01
5.330241187384044288e+00,1.840630083081064641e-02,2.888886047436713400e-01
5.355287569573283335e+00,1.853967665932182776e-02,2.910052496397605992e-01
5.380333951762523270e+00,1.833789306097298108e-02,2.912860546575045118e-01
5.405380333951762317e+00,1.804784047860981053e-02,2.903794372879847652e-01
5.430426716141001364e+00,1.758559539299253682e-02,2.875589267189056497e-01
5.455473098330241299e+00,1.705188054154238575e-02,2.838030590293729727e-01
5.480519480519480346e+00,1.640543654427111669e-02,2.781039562335233528e-01
5.505565862708719393e+00,1.569096603619557148e-02,2.717334296229386159e-01
5.530612244897959329e+00,1.475692851127657738e-02,2.634284267584619532e-01
5.555658627087198376e+00,1.363773981512106728e-02,2.547134963667374574e-01
5.580705009276437423e+00,1.236084559556597032e-02,2.441238408414273808e-01
5.605751391465677358e+00,1.090094251112526044e-02,2.333674908347301291e-01
5.630797773654916405e+00,9.415613193712731380e-03,2.208471763853413761e-01
5.655844155844155452e+00,7.889889184188413410e-03,2.083775929093553414e-01
5.680890538033395387e+00,6.324011417966632700e-03,1.943190564916415231e-01
5.705936920222634434e+00,4.668430611148346662e-03,1.804883703998921007e-01
5.730983302411873481e+00,2.970740461948529702e-03,1.652931243130253136e-01
5.756029684601113416e+00,1.135148379703430042e-03,1.504586821680772568e-01
5.781076066790352463e+00,-6.614060673641654776e-04,1.345331452258738403e-01
5.806122448979591510e+00,-2.247885302450743951e-03,1.190538125404154851e-01
5.831168831168831446e+00,-3.827047691921945174e-03,1.027966721739718287e-01
5.856215213358070493e+00,-5.323353313361711865e-03,8.702664899109835428e-02
5.881261595547309540e+00,-6.815859291538392019e-03,7.082661840649452645e-02
5.906307977736549475e+00,-8.017259686877473840e-03,5.511036411231511750e-02
5.931354359925788522e+00,-9.219016678119850219e-03,3.932866037269853315e-02
5.956400742115027569e+00,-1.019735457119233697e-02,2.399036615972247044e-02
5.981447124304267504e+00,-1.116278822484814692e-02,8.956691658887669383e-03
6.006493506493506551e+00,-1.189909665718240535e-02,-5.703072963137046682e-03
6.031539888682745598e+00,-1.260300983331051616e-02,-1.969592223492749525e-02
6.056586270871985533e+00,-1.300612391075292411e-02,-3.340379774769350329e-02
6.081632653061224580e+00,-1.333782607368489033e-02,-4.610530170815815842e-02
6.106679035250463627e+00,-1.353807967959971478e-02,-5.862217653537037804e-02
